Customer_ID,Age,Employment_Type,Monthly_Income,Loan_Amount,Credit_Score,Existing_Loans,Missed_Payments,City,Application_Date,Loan_Default
100086,38,2,74491.81,288998.09,664,1,1,1,680,0
100087,67,2,54665.15,491312.32,568,4,0,3,498,1
100088,44,2,33654.44,217407.71,715,3,1,5,1249,1
100089,46,2,51387.36,178458.36,808,0,0,2,667,0
100090,45,0,71308.32,450639.51,834,1,1,3,279,0
100091,65,0,33876.43,117529.35,650,2,2,4,772,0
100092,61,1,51961.24,220245.9,606,1,1,3,173,1
100093,49,2,81518.68,532730.04,819,1,2,2,1110,1
100094,35,0,52033.91,392797.54,638,1,2,1,978,1
100095,65,3,50368.58,434922.57,805,3,1,0,167,1
100096,21,0,51730.68,437388.6,834,1,2,1,105,1
100097,45,3,19096.78,173736.87,590,0,1,3,1357,0
100098,27,2,70099.49,315411.67,850,2,0,3,955,0
100099,29,0,64830.1,822246.56,504,2,2,4,1290,1
100100,44,2,45463.73,249983.94,609,2,1,2,1129,1
100101,21,0,70496.66,1054649.44,643,0,2,1,638,1
100102,64,2,62213.76,622332.59,750,2,1,4,649,0
100103,28,2,100653.2,444254.13,651,2,1,3,1123,0
100104,44,0,77379.67,1117796.71,748,2,1,5,1346,0
100105,31,2,55109.57,432006.44,652,1,2,4,220,0
100106,37,2,52254.64,731722.16,539,1,0,0,1420,1
100107,28,0,48399.88,465189.95,723,3,1,5,1193,1
100108,55,0,42339.82,334558.09,724,0,4,2,1246,1
100109,55,2,67435.77,226499.4,703,1,0,2,860,0
100110,53,2,69782.22,593723.67,685,1,0,3,860,0
100111,25,2,58217.11,181716.61,850,1,2,1,992,0
100112,62,1,57780.68,310981.42,547,1,0,4,521,1
100113,59,2,75845.57,262803.12,657,2,1,2,918,0
100114,61,2,64256.07,731762,558,1,4,3,112,0
100115,48,2,55007.62,724557.27,677,1,1,2,942,0
100116,27,1,77320.89,1079908.92,651,2,1,4,281,1
100117,29,2,10000,127871.83,640,2,1,4,1038,1
100118,28,2,37331.86,170647.05,649,5,1,1,650,1
100119,32,0,64189.29,438940.16,846,2,1,2,1306,0
100120,54,2,34195.39,344995.14,796,1,2,3,1320,1
100121,53,0,45512.55,217513.38,716,0,0,2,1267,0
100122,68,1,61026.3,823925.81,700,4,2,3,1067,1
100123,43,3,36109.33,369869.09,676,2,0,2,865,1
100124,44,2,73442.44,413638.24,517,3,0,0,1060,1
100125,57,3,62425.28,578259.15,654,1,0,1,139,0
100126,55,3,62200.1,508780.28,761,0,0,4,1236,1
100127,64,2,23177.33,243476.84,627,0,2,5,1194,0
100128,60,2,14352.44,152328.32,710,2,1,1,218,1
100129,42,2,115616.34,1678963.59,708,2,1,1,915,0
100130,47,2,22895.4,198313.43,635,1,3,4,224,0
100131,55,2,39871.66,244108.91,548,2,1,1,1133,1
100132,21,1,62890.7,565489.87,850,4,2,5,130,1
100133,55,1,34258.58,120829.1,827,0,1,3,933,0
100134,57,2,87222.54,392796.78,663,4,2,3,1357,1
100135,67,0,78616.07,647648.12,690,2,1,5,384,1
100136,34,2,74657.31,255625.76,691,0,3,2,12,0
100137,23,2,10000,91053.24,794,3,1,3,1124,1
100138,21,2,66343,510613.36,671,1,1,4,1426,1
100139,25,2,85010.74,410122.23,630,3,1,3,733,1
100140,46,2,41038.19,390741.77,829,1,0,2,311,1
100141,34,0,50907.91,596756.86,736,0,0,1,281,1
100142,59,2,43881.09,428639.15,645,1,2,4,979,1
100143,47,2,41411.33,251673.62,804,3,1,2,91,0
100144,29,0,67954.7,920442.07,817,2,2,5,623,0
100145,35,2,46621.82,280575.35,698,3,0,3,866,0
100146,35,2,83977.19,1112330.64,804,0,0,5,758,1
100147,46,2,40261.34,226200.56,566,3,1,2,917,1
100148,62,2,92155.77,743474.58,835,2,0,1,1453,1
100149,33,2,119538.56,927263.76,689,2,1,2,1220,1
100150,52,0,52863.11,616074.65,701,2,0,1,416,0
100151,59,2,54829.61,410934.18,850,3,0,4,359,1
100152,69,2,71083.04,1023467.85,702,2,1,2,627,1
100153,52,1,73337.77,370461.35,542,4,2,2,146,0
100154,24,2,78273.07,400441.29,714,1,1,1,240,0
100155,50,2,50914.84,252183,848,2,0,2,509,0
100156,57,2,36931.35,126061.03,675,2,0,4,629,0
100157,43,2,19999.55,139654.85,698,1,0,3,1390,1
100158,59,2,25700.03,307886.13,692,1,0,4,1098,0
100159,65,0,86917.26,1129470.95,625,0,0,4,346,0
100160,35,2,48426.8,472586,624,1,1,4,336,1
100161,63,2,37092.97,175187.25,724,0,2,4,422,0
100162,49,3,72244.31,1070164.74,726,2,1,1,1430,0
100163,56,3,91253.44,821263.83,385,0,1,4,463,0
100164,33,2,80839.34,985746.46,647,1,0,0,1475,1
100165,52,2,10000,101434.14,747,1,2,1,483,1
100166,27,2,86828.32,378454.15,647,1,3,5,1120,1
100167,42,2,66386.01,730727.57,691,2,1,2,1289,1
100168,48,2,105519.43,1452664.32,557,1,0,5,1392,0
100169,22,3,20725.45,189913.69,680,2,2,1,946,0
100170,62,2,38962.72,402220.86,648,2,1,1,1155,0
100171,65,1,39791.01,490394.88,782,0,1,0,1335,1
100172,26,0,62921.34,209535.52,756,0,3,3,853,0
100173,48,0,57735.55,824986.89,651,2,2,2,792,0
100174,48,2,80230.98,653524.53,744,2,1,2,157,1
100175,64,0,52500.5,472021.69,608,1,2,4,297,0
100176,64,3,69940.98,566317.08,778,1,1,5,749,1
100177,40,2,56227.55,425848.8,663,1,0,3,921,1
100178,50,2,66738.73,305161.1,599,2,1,4,1269,1
100179,31,2,37869.45,248627.81,615,0,2,0,555,1
100180,48,2,67810.09,774489.77,627,0,1,0,1061,1
100181,45,0,57073.34,423889.95,631,5,0,0,148,1
100182,59,2,74310.99,581003.65,850,1,1,3,492,1
100183,53,2,42154.97,516914.66,685,1,1,4,1139,1
100184,21,0,77128.88,1142834.85,647,1,5,1,1415,1
100185,47,2,69183.3,289190.9,649,1,2,0,0,0
100186,33,0,46169.01,552864.4,661,1,3,0,1469,1
100187,61,1,70126.05,267988.64,668,0,1,3,511,0
100188,23,2,59913.72,696395.58,674,1,1,1,1096,1
100189,59,0,65694.51,401822.51,702,3,1,0,1298,1
100190,26,0,89657.76,356918,560,2,2,0,1027,0
100191,28,2,77065.29,386971.88,650,2,1,0,1467,0
100192,47,0,56334.38,251174.02,794,2,1,3,1191,0
100193,29,0,56031.6,379819.58,605,0,3,4,44,0
100194,57,1,73136.66,258849.17,701,1,2,2,1075,1
100195,53,2,38284.52,197015.6,620,1,0,2,311,0
100196,62,1,42346.83,201296.06,768,2,2,0,820,0
100197,64,2,82179.02,826509.21,850,1,1,5,1246,1
100198,44,0,103182.73,843018.71,667,0,0,3,933,1
100199,35,3,66349.79,510489.35,441,2,1,3,245,1
100200,52,2,60197.18,524188.33,795,3,1,2,1059,1
100201,52,1,70243.01,254629.2,715,1,1,5,933,0
100202,44,2,50567.5,164858.69,723,1,2,2,1017,0
100203,61,2,16262.81,215006.92,729,0,2,3,1114,0
100204,69,2,63811.78,485673.23,770,2,1,1,1435,1
100205,69,3,68173.65,227712.27,703,1,3,4,1185,1
100206,32,0,68800.24,988973.47,509,3,1,4,1244,0
100207,59,2,45715.97,246481.88,598,0,0,4,1244,0
100208,22,0,91450.22,1094111.46,598,1,2,5,968,1
100209,23,3,53972.2,249253.87,704,2,1,0,342,1
100210,69,2,93419.95,1063870.08,673,2,0,2,802,0
100211,57,2,76763.07,281886.31,615,0,0,5,255,0
100212,69,0,105003.81,487205.98,711,2,0,2,560,0
100213,37,2,53112.66,652283.93,494,0,4,1,1008,0
100214,69,2,32551.18,423880.2,691,1,3,3,960,0
100215,22,2,28783.48,98549.39,728,1,0,2,278,0
100216,22,0,69912.2,990041.77,567,0,0,4,249,1
100217,48,1,52518.23,502897.32,511,2,0,0,1275,1
100218,43,2,101721.05,1019213.46,625,1,0,5,1281,1
100219,57,0,10000,45921.15,690,1,1,1,154,0
100220,52,3,37709.66,439342.42,806,1,0,4,557,1
100221,53,2,43524.32,611790.11,701,4,3,4,277,0
100222,21,2,108997.04,605231.45,682,1,1,2,393,0
100223,39,1,103520.33,1214226.88,582,3,2,5,503,0
100224,22,3,83948.32,625329.55,686,0,1,4,1238,0
100225,64,2,51533.72,615351.38,661,0,2,5,149,0
100226,46,2,48351.4,698239.86,597,1,1,5,130,1
100227,52,1,75126.37,606087.81,554,0,1,1,50,0
100228,26,2,63846.87,212585.44,733,1,1,1,779,0
100229,52,2,83685.25,400458.21,635,2,1,4,1210,1
100230,24,3,71181.85,614497.78,850,1,1,3,621,0
100231,31,3,96449.15,1337938.7,695,1,2,3,797,1
100232,37,0,68408.66,827293.48,719,2,0,4,430,0
100233,58,2,70981.75,885432.72,690,0,2,3,325,0
100234,44,0,79245.97,858850.63,713,1,2,4,989,1
100235,25,3,71896.98,394861.13,850,0,2,4,1342,1
100236,54,2,14197.71,58811.84,647,1,1,3,273,0
100237,26,0,47216.64,572076.64,781,1,1,3,636,1
100238,42,2,47638.33,410454.94,733,1,2,1,308,0
100239,31,2,80533.82,320528.63,712,1,2,3,461,0
100240,68,0,50369.1,316981.25,694,1,1,5,1192,0
100241,36,2,88648.01,1318885.15,680,2,0,4,466,0
100242,53,0,48087.11,186335.41,514,3,1,4,163,0
100243,29,0,65829.41,594783.09,784,2,2,5,17,0
100244,26,2,85985.23,1211722.14,782,1,0,0,798,1
100245,36,3,107868.05,1025491.26,742,0,1,3,185,1
100246,49,2,57098.32,635479.6,670,1,2,4,888,0
100247,23,1,16974.58,248221.96,688,2,1,0,625,0
100248,40,3,86178.05,931250.81,655,3,3,2,1428,1
100249,56,2,62462.82,573613.29,707,0,1,2,230,1
100250,39,2,36634.69,280054.47,702,0,0,2,1222,0
100251,46,0,71463.93,635102.74,750,2,0,5,741,0
100252,23,2,75267.04,1079502.32,441,2,2,0,425,0
100253,39,2,83653.27,1209951.28,707,4,0,3,788,1
100254,40,2,70059.97,677719.85,743,0,0,5,175,1
100255,52,1,30945.3,276837.31,631,1,3,5,645,1
100256,27,0,80085.74,670123.76,706,0,0,1,469,0
100257,61,1,80191.34,904513.73,740,0,0,5,48,0
100258,53,0,49174.66,719119.24,709,1,1,5,1158,0
100259,60,2,57355.23,339505.01,591,3,1,0,1244,1
100260,59,0,82041.21,858973.88,814,2,0,0,1352,1
100261,38,2,23212.41,208343.24,764,1,0,5,747,0
100262,60,2,43011.31,377448.86,787,1,1,1,1454,1
100263,21,2,107165.79,1217381.44,685,2,1,1,1387,0
100264,31,0,76355.69,482234.98,647,0,0,4,330,0
100265,48,0,70532.33,678974.45,733,0,0,1,1274,1
100266,45,2,93177.98,1343069.53,667,0,1,5,280,1
100267,43,0,93224.44,376548.53,724,2,2,3,388,0
100268,51,2,69366.95,998636.03,748,2,1,5,1424,1
100269,50,2,33416.43,311638.49,678,2,0,1,429,0
100270,62,2,46049.72,181578.54,718,2,1,4,1453,0
100271,55,1,55389.92,211142.63,447,0,0,1,864,0
100272,27,2,28971.76,306869.7,713,2,2,5,768,1
100273,36,2,30821.62,266567.1,744,1,2,3,656,1
100274,46,0,47416.02,410597.53,706,0,1,3,752,1
100275,68,2,76130.03,635652.63,745,2,3,0,204,1
100276,69,2,85606.51,535855.01,709,3,3,4,1018,0
100277,22,1,34201.73,269259.57,750,2,3,1,1352,0
100278,21,0,96892.01,436486.78,642,0,1,1,739,1
100279,68,0,49737.95,186089.58,681,4,0,0,40,0
100280,32,1,63412.4,625344.84,621,2,1,1,537,1
100281,25,2,70784.81,833462.36,642,1,2,5,1070,1
100282,57,2,45735.97,164336.78,677,3,2,1,1121,1
100283,52,2,42483.31,144659.32,501,0,1,0,104,0
100284,29,2,84135.38,472006.48,801,2,0,1,232,0
100285,61,0,77713.97,654978.13,731,2,0,4,863,0
100286,55,2,74712.28,299018.66,605,1,0,1,1090,0
100287,39,3,53903.93,608631.15,521,1,3,1,159,0
100288,68,0,58808.44,815324.11,670,3,3,1,40,0
100289,36,2,66862.07,451629.71,732,1,4,3,672,1
100290,23,1,43001.49,271080.2,554,2,3,2,988,1
100291,40,2,57821.12,319861.06,629,1,0,0,1421,0
100292,44,0,15733.96,119636.38,601,2,2,1,760,0
100293,53,1,69565.41,251240.96,688,1,0,5,590,0
100294,44,3,41265.31,407545.6,617,0,2,5,270,0
100295,31,2,92272.44,809252.23,665,1,0,1,1176,0
100296,69,3,52865.9,201050.28,728,1,1,5,133,0
100297,28,0,79224.55,1020683.27,790,4,0,3,772,0
100298,56,3,77459.12,1038759.82,638,0,4,2,1055,1
100299,58,0,29479.43,139354.6,511,0,2,4,1011,1
100300,60,0,42361.44,325146.8,597,4,1,4,33,0
100301,40,2,66577.14,224216.05,656,3,1,1,574,0
100302,55,2,69746.37,593885.18,710,1,0,4,446,0
100303,68,3,38253.15,260810.72,793,1,0,4,681,0
100304,45,2,27427.18,118163.6,692,1,0,1,1324,0
100305,55,2,44030.55,539974.8,711,2,0,5,477,0
100306,45,2,36388.83,265495.7,588,0,1,3,465,1
100307,49,3,30581.4,353705.33,715,1,1,5,924,0
100308,38,2,50077.51,546430.92,477,2,0,4,1140,0
100309,66,0,68335.33,224642.23,850,2,1,1,1126,0
100310,38,2,29144.58,231886.52,693,0,0,1,1173,0
100311,22,2,57888.16,175677.26,850,3,2,0,341,0
100312,55,2,74674.23,230031.66,738,1,0,0,1028,0
100313,36,3,48126.77,589944.39,550,1,2,5,1263,1
100314,61,1,34822.98,300327.6,777,2,0,0,175,1
100315,56,2,62957.92,761049.13,601,2,2,4,1169,1
100316,53,2,92108.56,547970.03,620,1,2,0,361,0
100317,24,1,28232.27,127381.04,455,2,1,4,1402,1
100318,53,2,45606.34,260522.78,541,0,4,3,551,0
100319,34,2,60848.82,444355.98,719,2,2,1,849,0
100320,41,2,48406.28,340133.71,735,0,1,1,538,0
100321,68,1,88945.05,1112151.98,608,1,2,2,1194,1
100322,40,2,61706.02,308324.43,788,3,2,2,1465,0
100323,28,3,68206.06,564305.61,776,0,2,5,587,1
100324,27,2,41096.67,572921.51,663,4,1,2,318,1
100325,23,0,107394.24,596945.33,661,1,2,4,721,0
100326,37,3,74992.24,1060829.67,542,0,3,4,421,0
100327,53,0,35674.69,152678.62,454,2,1,4,1409,1
100328,68,2,72024.88,962308.91,578,1,0,1,417,1
100329,32,0,16668.74,152845.25,693,4,1,1,626,0
100330,42,2,36171.95,510726.26,687,1,1,4,966,0
100331,42,1,71934.52,1071631.92,697,2,2,1,268,0
100332,66,2,26405,284138.45,696,1,1,4,429,0
100333,50,0,44839.32,531349.95,575,2,4,5,1348,0
100334,58,0,79179.35,1162814.21,702,2,1,0,1007,1
100335,58,2,27822.2,136833.03,704,3,2,2,539,0
100336,65,2,66103.7,374938.57,787,1,1,2,1467,0
100337,28,1,85535.87,310799.13,838,3,1,2,532,0
100338,47,0,108279.15,549137.21,654,2,1,5,274,0
100339,47,2,59170.58,268801.16,702,2,0,5,52,0
100340,54,2,59559.79,606105.25,638,0,2,0,970,1
100341,41,0,58001.16,573334.8,850,2,1,4,575,1
100342,50,1,89091.04,1046741.39,590,3,0,4,511,0
100343,53,0,65201.24,510994.47,809,1,2,3,1170,1
100344,48,2,28935.91,219881.06,505,1,2,3,1488,0
100345,67,2,84862.97,1206135.78,622,2,1,2,544,0
100346,53,2,37470.68,395482.34,641,1,1,0,841,0
100347,25,2,75804.05,879549.43,766,4,0,4,1115,0
100348,68,2,27735.39,155715.13,696,1,2,1,1379,1
100349,39,2,48647.21,463620.61,678,3,2,2,795,1
100350,24,2,23714.55,80285.41,838,1,2,3,74,0
100351,55,2,88634.7,484110.1,667,3,2,0,1285,1
100352,69,0,45873.56,501457.59,565,1,1,0,1314,0
100353,37,2,73496.19,602424.22,737,0,0,3,887,1
100354,64,0,85403.38,686767.1,684,3,1,3,877,0
100355,48,0,78275.46,1173109.62,783,3,1,0,1267,0
100356,50,3,22104.38,91107.32,720,2,2,1,1062,0
100357,49,1,56471.93,665863.52,718,2,1,2,765,0
100358,66,2,93409.87,1034390.98,735,2,1,4,892,0
100359,26,2,58617.95,285809.01,641,2,0,3,1425,1
100360,55,1,90095.96,1096103.99,820,0,2,4,82,1
100361,61,2,77390.11,974436.55,755,1,0,2,271,1
100362,57,2,54174.31,682815.42,566,0,1,5,56,1
100363,44,2,89514.17,615369.58,725,0,1,0,1074,1
100364,49,1,52376.09,216820.99,678,0,1,0,1475,0
100365,69,2,32485.42,292784.47,665,1,0,1,593,0
100366,66,0,55751.44,471251.28,802,3,0,5,40,1
100367,51,2,38412.04,436813.11,534,1,1,0,770,1
100368,55,0,60375.97,299708.12,574,2,0,5,805,1
100369,53,2,28846.7,181111.5,585,3,3,3,1408,0
100370,41,2,23491.12,162804.52,609,1,2,3,918,1
100371,52,2,98156.36,514498.8,608,0,2,0,1280,0
100372,43,0,45358.09,169866.8,759,1,1,0,1292,0
100373,53,2,20265.08,108912.39,631,2,2,5,1042,1
100374,23,0,96042.91,1330461.14,607,0,2,2,797,0
100375,38,1,68814.7,468734.25,808,0,1,5,732,0
100376,45,2,41816.59,470817.52,756,4,1,1,1483,1
100377,62,1,59078.66,470747.11,587,2,1,2,1437,0
100378,51,2,91098.27,307038.85,741,3,1,3,239,0
100379,23,2,51357.6,300428.61,570,1,2,0,1425,1
100380,60,2,37321.87,200213.03,462,3,3,2,543,0
100381,66,2,44550.58,265741.78,678,1,1,3,624,1
100382,44,2,39166.08,238941.35,695,1,3,2,1204,1
100383,52,3,43129.03,179119.27,651,1,1,3,1469,0
100384,67,1,116924.46,1583452.2,631,1,1,4,195,1
100385,42,2,72359.11,255277.13,614,0,0,4,917,0
100386,43,0,52728.97,329005.06,807,4,2,3,4,0
100387,22,2,65780.75,340620.82,785,1,1,3,486,0
100388,47,0,69813.44,611881.78,817,0,1,3,591,1
100389,62,2,88566.26,1048141.24,795,1,2,3,1448,1
100390,22,2,89980.56,450990.31,714,0,0,0,396,0
100391,46,0,89667.05,1207601.06,741,1,0,2,413,1
100392,37,3,78674.3,419247.44,667,1,1,2,1163,0
100393,60,2,79913.5,415898.86,696,1,0,3,286,0
100394,53,2,41027.61,303463.19,621,1,2,2,1322,1
100395,29,0,89599.75,1228575.87,793,1,3,1,510,1
100396,63,2,19921.66,131781.9,472,0,5,5,1304,0
100397,68,0,93645.7,892080.9,555,0,5,0,270,0
100398,59,2,76932.67,713156.27,558,2,1,2,606,1
100399,49,2,54041.58,338730.1,743,5,1,4,747,0
100400,62,3,77569.02,338870.66,620,1,0,3,368,1
100401,46,3,39351.32,407275.46,704,4,1,1,1078,1
100402,55,2,81458.32,334808.23,593,2,1,2,51,1
100403,45,0,76293.11,292907.06,799,2,4,1,739,0
100404,44,0,30602.7,260426.03,673,1,0,3,350,1
100405,33,0,62589.03,667384.16,710,0,0,5,907,1
100406,27,2,62612.88,626768.15,693,2,1,3,1402,1
100407,56,1,39412.68,199963.1,575,2,3,0,1115,1
100408,65,0,71281.99,840406.7,638,1,2,4,59,1
100409,40,2,51293.43,306200.71,695,1,1,0,556,0
100410,21,2,49447.6,225535.81,715,2,1,1,1439,1
100411,28,0,97932.35,950797.01,661,1,0,0,699,1
100412,66,2,96320.82,1054747.44,666,0,1,3,571,1
100413,36,2,71734.89,515457.31,833,0,2,4,1134,0
100414,34,2,85312.54,1114375.5,546,0,1,3,998,1
100415,32,2,38589.17,234196.05,651,0,4,1,1044,1
100416,43,0,20418.06,116483.49,393,6,2,3,291,0
100417,35,3,51293.19,739534.72,745,1,3,0,174,1
100418,48,1,92410.6,1013746.12,708,2,2,5,703,1
100419,54,0,71516.65,229652.35,634,3,2,3,856,0
100420,22,2,10000,44056.43,577,0,1,3,962,0
100421,52,2,85697.78,601532.21,614,1,0,4,659,1
100422,43,0,74908.96,829240.38,631,4,2,1,508,1
100423,42,0,54462.76,561292.71,585,1,1,5,1445,1
100424,45,0,49352.5,401283.53,705,3,2,4,1049,0
100425,42,1,46961.01,419052.55,820,2,1,2,111,1
100426,42,0,70194.95,373366.11,663,2,0,2,552,0
100427,69,1,40668.55,311335.07,638,2,2,2,531,1
100428,62,2,55907.36,759144.08,751,2,0,0,815,0
100429,26,3,32388.85,305052.64,507,0,1,2,255,1
100430,35,2,57591.37,623277.53,717,1,3,1,753,0
100431,63,2,62900.38,527931.2,701,1,1,2,681,0
100432,57,2,65907.27,762516.03,676,1,0,1,707,1
100433,53,1,38374.12,333240.19,653,1,2,2,395,0
100434,28,2,54221.6,256152.65,742,2,2,2,823,1
100435,64,2,10000,125040.32,637,0,2,4,1408,0
100436,64,0,64042.52,331079.22,710,2,0,4,696,0
100437,25,0,61324.19,823778.91,625,3,2,0,1072,0
100438,59,2,60022.6,267749.86,681,2,2,2,105,0
100439,24,2,55584.05,279882.49,755,1,3,5,1038,1
100440,26,3,68512.93,562695.06,538,2,0,4,379,1
100441,65,1,64416.88,530643.63,702,1,1,0,37,0
100442,52,2,83238.29,1219146.25,594,1,3,1,375,0
100443,50,2,91246.52,351487.57,681,5,3,1,726,0
100444,67,2,70071.39,342760.22,819,1,0,4,273,0
100445,55,2,53851.61,777719.91,703,2,2,4,687,0
100446,60,2,27512.37,129806.82,723,0,2,2,512,0
100447,36,3,64754.27,942455.29,679,1,0,4,670,1
100448,33,2,65214.99,436895.82,688,0,2,1,814,0
100449,62,2,49867.18,410808.97,661,1,2,1,526,0
100450,50,2,56481.71,457120.34,580,1,1,0,204,1
100451,39,2,67428.16,467892.13,747,1,0,2,981,0
100452,37,1,71843.56,382775.87,770,1,1,5,379,1
100453,39,2,94345.19,1271645.68,737,1,1,1,1285,1
100454,48,2,76810.35,345531.45,550,2,1,0,1161,0
100455,46,1,64340.59,366250.21,570,1,0,3,97,0
100456,57,0,55195.49,366519.58,666,0,2,2,725,0
100457,46,0,77478.27,749038.1,758,1,1,3,787,1
100458,43,2,38938.54,476020.76,706,1,1,2,886,1
100459,29,2,52437.26,513394.16,631,1,1,5,1212,1
100460,32,1,53660.61,547266.56,700,4,1,5,73,1
100461,21,0,18022.36,214884.08,645,2,1,0,1080,1
100462,21,0,89764.79,993450.45,775,2,3,5,759,1
100463,67,2,31706.05,325545.01,750,1,2,1,1408,1
100464,54,2,59271.92,882164.61,694,1,1,2,370,0
100465,52,1,42291.71,208724,626,0,1,4,202,0
100466,68,2,76112.83,753255.33,746,1,3,3,1375,1
100467,45,2,84545.43,474435.33,626,0,0,5,252,0
100468,60,0,42107.42,565251.86,783,3,3,2,18,1
100469,65,2,26756.74,218146.51,550,2,2,0,265,1
100470,21,3,29659.2,425274.3,842,2,1,2,313,1
100471,36,1,51103.75,675289.99,654,1,0,0,1050,1
